ground_truth:黑AH3333, recognition_res:辽AH8888, cor_num:2/7, 1/100
ground_truth:津E22602, recognition_res:津E22602, cor_num:7/7, 2/100
ground_truth:辽A09030, recognition_res:辽A09D3D, cor_num:5/7, 3/100
ground_truth:鲁HH9999, recognition_res:鲁HH9999, cor_num:7/7, 4/100
ground_truth:辽BAV566, recognition_res:辽BAV566, cor_num:7/7, 5/100
ground_truth:黑G77777, recognition_res:湘G77777, cor_num:6/7, 6/100
ground_truth:辽BSM939, recognition_res:辽BSM939, cor_num:7/7, 7/100
ground_truth:陕CGD290, recognition_res:陕CGD290, cor_num:7/7, 8/100
ground_truth:辽B9979B, recognition_res:辽B9979B, cor_num:7/7, 9/100
ground_truth:鄂AEB506, recognition_res:鄂AEB506, cor_num:7/7, 10/100
ground_truth:辽B2723L, recognition_res:辽B2723L, cor_num:7/7, 11/100
ground_truth:辽BAV566, recognition_res:辽BAV566, cor_num:7/7, 12/100
ground_truth:晋AAS999, recognition_res:晋AAS999, cor_num:7/7, 13/100
ground_truth:苏EF92E9, recognition_res:苏EF92E9, cor_num:7/7, 14/100
ground_truth:鄂BZ4444, recognition_res:鄂BZ4444, cor_num:7/7, 15/100
ground_truth:京QN5555, recognition_res:京QN5555, cor_num:7/7, 16/100
ground_truth:苏D22022, recognition_res:贵D22022, cor_num:6/7, 17/100
ground_truth:辽B0516B, recognition_res:辽BD5W6B, cor_num:5/7, 18/100
ground_truth:琼A99999, recognition_res:琼A99999, cor_num:7/7, 19/100
ground_truth:粤A2Y222, recognition_res:粤A2Y222, cor_num:7/7, 20/100
ground_truth:辽B9979B, recognition_res:辽B9979B, cor_num:7/7, 21/100
ground_truth:鲁CCA038, recognition_res:鲁CCAD3B, cor_num:5/7, 22/100
ground_truth:京H99999, recognition_res:京H99999, cor_num:7/7, 23/100
ground_truth:鄂AE0159, recognition_res:鄂AED859, cor_num:5/7, 24/100
ground_truth:川S77777, recognition_res:川S77777, cor_num:7/7, 25/100
ground_truth:辽BSM939, recognition_res:辽BSM939, cor_num:7/7, 26/100
ground_truth:豫GPN677, recognition_res:豫BPN677, cor_num:6/7, 27/100
ground_truth:京H99999, recognition_res:京H99999, cor_num:7/7, 28/100
ground_truth:辽F38555, recognition_res:辽F38555, cor_num:7/7, 29/100
ground_truth:云P52222, recognition_res:云P52222, cor_num:7/7, 30/100
ground_truth:辽BSM939, recognition_res:辽BSM939, cor_num:7/7, 31/100
ground_truth:川S77777, recognition_res:川S77777, cor_num:7/7, 32/100
ground_truth:云AMP526, recognition_res:云AMPF26, cor_num:6/7, 33/100
ground_truth:鄂K9M555, recognition_res:鄂K9M555, cor_num:7/7, 34/100
ground_truth:苏JJJ333, recognition_res:苏JJJ333, cor_num:7/7, 35/100
ground_truth:京GT7777, recognition_res:黑G17777, cor_num:5/7, 36/100
ground_truth:京BN9999, recognition_res:京BN9999, cor_num:7/7, 37/100
ground_truth:鄂AA8532, recognition_res:鄂AA8532, cor_num:7/7, 38/100
ground_truth:陕CGD290, recognition_res:陕CGD290, cor_num:7/7, 39/100
ground_truth:鄂K9M555, recognition_res:鄂K9M555, cor_num:7/7, 40/100
